scenario_id,replication,random_seed,lambda_walkin,num_cooks,num_packers,arrival_breakdown,arrival_total,balk_count,cost_waste,no_seat_count,queue_breakdown,queue_lengths,renege_count,throughput_breakdown,throughput_total,time_simulated,total_labour_costs,total_penalties,total_profit,total_sales_price,util_BUSSER,util_CASHIER,util_COOK,util_DRIVE_THRU,util_ESPRESSO,util_PACKER,wait_DRIVE_THRU_avg,wait_DRIVE_THRU_p90,wait_MOBILE_avg,wait_MOBILE_p90,wait_WALK_IN_avg,wait_WALK_IN_p90,waste_items
1,1,1,20,3,1,"{'WALK_IN': 332, 'DRIVE_THRU': 278, 'MOBILE': 155}",765,1,20.25,0,"{'Walkin queue': 52, 'Drive-thru queue': 0, 'Kitchen queue': 154, 'Packing queue': 17}",223,145,"{'WALK_IN': 209, 'DRIVE_THRU': 203, 'MOBILE': 13}",425,480.13216368507113,1008.2775437386493,54.285,2248.1874562613507,3331.0,0.7602607204355644,0.8659629369984511,0.4614801641339542,0.5926776228089178,0.09672964283240464,0.9291348035753538,81.76664967110415,110.05732015653055,9.639312319148125,12.246887528434241,110.74169293653561,155.39293993268083,5
1,2,2,20,3,1,"{'WALK_IN': 363, 'DRIVE_THRU': 280, 'MOBILE': 158}",801,0,61.349999999999994,0,"{'Walkin queue': 39, 'Drive-thru queue': 0, 'Kitchen queue': 177, 'Packing queue': 18}",234,175,"{'WALK_IN': 245, 'DRIVE_THRU': 183, 'MOBILE': 7}",435,480.2543436339628,1008.5341216313219,54.529999999999994,2186.085878368678,3310.5,0.9122937405896638,0.9536452502426804,0.426342711313027,0.5763385273541987,0.08553088881799258,0.9618517602123426,61.32537640246796,93.65988656625251,12.87382787935013,16.15731851918744,93.06880819281508,142.3098812810445,26
1,3,3,20,3,1,"{'WALK_IN': 331, 'DRIVE_THRU': 249, 'MOBILE': 173}",753,1,13.5,0,"{'Walkin queue': 38, 'Drive-thru queue': 0, 'Kitchen queue': 110, 'Packing queue': 52}",200,159,"{'WALK_IN': 232, 'DRIVE_THRU': 195, 'MOBILE': 23}",450,480.10475003905094,1008.2199750820071,51.20499999999998,2162.075024917993,3235.0,0.874514181250808,0.9654574105169569,0.4161396041759808,0.5386722574356037,0.0889951369695625,0.9733055576847888,51.12525427797436,89.2114296793534,11.387163556719532,14.56524072029662,88.63190059028693,136.95201130757067,5
1,4,4,20,3,1,"{'WALK_IN': 368, 'DRIVE_THRU': 267, 'MOBILE': 155}",790,1,42.6,0,"{'Walkin queue': 88, 'Drive-thru queue': 0, 'Kitchen queue': 89, 'Packing queue': 36}",213,158,"{'WALK_IN': 213, 'DRIVE_THRU': 215, 'MOBILE': 10}",438,480.580748457779,1009.219571761336,52.885,2081.7954282386636,3186.5,0.8551284855514165,0.9014271691196876,0.3782517971091309,0.618137607535116,0.07741514708547775,0.9620177763316452,59.52376924761693,88.27946588931523,8.415301624399964,11.085038187087479,109.625079902631,162.9124242159321,17
1,5,5,20,3,1,"{'WALK_IN': 329, 'DRIVE_THRU': 281, 'MOBILE': 140}",750,16,12.15,0,"{'Walkin queue': 36, 'Drive-thru queue': 0, 'Kitchen queue': 93, 'Packing queue': 67}",196,151,"{'WALK_IN': 212, 'DRIVE_THRU': 201, 'MOBILE': 14}",427,480.5721137013838,1009.2014387729059,61.284999999999975,2161.863561227094,3244.5,0.8076290503298316,0.9231391862758932,0.42108504524065027,0.6187453179919765,0.09271318552865576,0.9509527988490818,73.87440071350784,114.39001115019909,8.11195606670854,13.069552111597364,100.85590294015053,143.2978551174838,4
2,1,1,30,3,1,"{'WALK_IN': 388, 'DRIVE_THRU': 259, 'MOBILE': 151}",798,7,48.599999999999994,0,"{'Walkin queue': 101, 'Drive-thru queue': 0, 'Kitchen queue': 74, 'Packing queue': 102}",277,162,"{'WALK_IN': 213, 'DRIVE_THRU': 171, 'MOBILE': 6}",390,480.35157158471213,1008.7383003278956,57.75000000000001,1800.9116996721045,2916.0,0.8596833184478669,0.9706471087779984,0.4130252803151082,0.5628216596897763,0.08751156089841336,0.959627643924701,71.16853116199513,118.60008896267357,9.335362774277419,11.835988746005057,123.33893783802456,217.3046222087548,13
2,2,2,30,3,1,"{'WALK_IN': 412, 'DRIVE_THRU': 247, 'MOBILE': 143}",802,5,48.0,0,"{'Walkin queue': 106, 'Drive-thru queue': 0, 'Kitchen queue': 19, 'Packing queue': 116}",241,147,"{'WALK_IN': 232, 'DRIVE_THRU': 179, 'MOBILE': 15}",426,480.2583483713893,1008.5425315799174,61.774999999999984,1880.6824684200824,2999.0,0.8502072852581439,0.9431057738154779,0.36789036482912957,0.5099010795133769,0.08692570489848765,0.9399698611972397,63.82371314531169,103.69322349956909,11.564163798435485,15.80598726796715,128.98737938389496,183.40108603280166,15
2,3,3,30,3,1,"{'WALK_IN': 372, 'DRIVE_THRU': 267, 'MOBILE': 139}",778,1,36.150000000000006,0,"{'Walkin queue': 93, 'Drive-thru queue': 0, 'Kitchen queue': 101, 'Packing queue': 20}",214,147,"{'WALK_IN': 233, 'DRIVE_THRU': 209, 'MOBILE': 8}",450,480.0871226480469,1008.1829575608986,58.975,2384.6920424391014,3488.0,0.8933127982615701,0.9879021246927759,0.4320571347075177,0.5481804520533163,0.07501409514495526,0.9504753941512324,65.1232771427263,88.97893419307131,13.368336043344407,17.053205045839604,109.32623293853956,155.90363960064838,15
2,4,4,30,3,1,"{'WALK_IN': 376, 'DRIVE_THRU': 252, 'MOBILE': 133}",761,0,21.299999999999997,0,"{'Walkin queue': 58, 'Drive-thru queue': 0, 'Kitchen queue': 81, 'Packing queue': 89}",228,134,"{'WALK_IN': 240, 'DRIVE_THRU': 181, 'MOBILE': 10}",431,480.2903439359234,1008.6097222654392,54.46000000000003,1945.1302777345604,3029.5,0.9122599797652811,0.9681345137034341,0.4537085145053596,0.5796596611341431,0.06584003110128064,0.9809026510641845,66.09899383213627,111.26197096485453,11.878601252963616,16.843073537784793,88.05284225215752,126.14423564386534,9
2,5,5,30,3,1,"{'WALK_IN': 382, 'DRIVE_THRU': 260, 'MOBILE': 157}",799,1,62.55,0,"{'Walkin queue': 111, 'Drive-thru queue': 0, 'Kitchen queue': 72, 'Packing queue': 47}",230,166,"{'WALK_IN': 220, 'DRIVE_THRU': 205, 'MOBILE': 5}",430,480.07144201483186,1008.150028231147,60.97,1886.3299717688528,3018.0,0.8007314933689383,0.9668314295236399,0.4169617238993953,0.6377684289356023,0.07249100776326495,0.9662690306430541,59.94268268699445,87.72522147407699,14.772978120746979,16.843714992698725,118.47363080125291,164.87534021614192,26
