scenario_id,replication,random_seed,lambda_walkin,num_cooks,num_packers,arrival_breakdown,arrival_total,balk_count,cost_waste,no_seat_count,order_timings,queue_breakdown,queue_lengths,renege_breakdown,renege_count,renege_percentage,throughput_breakdown,throughput_total,time_simulated,total_labour_costs,total_penalties,total_profit,total_sales_price,util_BREW,util_BUSSER,util_CASHIER,util_COOK,util_DRIVE_THRU,util_ESPRESSO,util_PACKER,wait_DRIVE_THRU_avg,wait_DRIVE_THRU_p90,wait_MOBILE_avg,wait_MOBILE_p90,wait_WALK_IN_avg,wait_WALK_IN_p90,waste_items
1,1,1,20,3,1,"{'WALK_IN': 300, 'DRIVE_THRU': 250, 'MOBILE': 195}",745,6,223.04999999999998,0,"{'wait_to_kitchen_done': 7116.975811805135, 'wait_to_packing_done': 2625.996778969673, 'wait_to_pickup': 366.51593226380015, 'queue_wait_kitchen': 6321.215060793306, 'queue_wait_packing': 2303.15012314148}","{'Walkin queue': 0, 'Drive-thru queue': 0, 'Kitchen queue': 0, 'Packing queue': 0}",0,"{'kitchen': 60, 'packing': 54, 'pickup': 8}",122,0.16375838926174496,"{'WALK_IN': 221, 'DRIVE_THRU': 229, 'MOBILE': 170}",620,480.1767211197295,1080.4241306873507,28.980000000000008,2973.545869312649,4306.0,0.15104166666666666,0.8381996845461843,0.5214712460592154,0.645832918603378,0.45712366373593194,0.09722095762614366,0.6538747745823874,21.207591360712744,37.49689232615562,16.84354093455002,28.504220083709242,15.865934698131536,27.684015345561107,62
1,2,2,20,3,1,"{'WALK_IN': 312, 'DRIVE_THRU': 289, 'MOBILE': 202}",803,2,308.6999999999999,0,"{'wait_to_kitchen_done': 10166.989772203146, 'wait_to_packing_done': 2414.7378824133293, 'wait_to_pickup': 370.24287213760715, 'queue_wait_kitchen': 9361.641656557904, 'queue_wait_packing': 2069.687311825118}","{'Walkin queue': 0, 'Drive-thru queue': 0, 'Kitchen queue': 0, 'Packing queue': 1}",1,"{'kitchen': 53, 'packing': 92, 'pickup': 12}",157,0.19551681195516812,"{'WALK_IN': 182, 'DRIVE_THRU': 280, 'MOBILE': 175}",637,480.10767774739475,1080.2584265937473,24.57000000000001,3086.4715734062524,4500.0,0.16145833333333334,0.7644696723702947,0.5067082646366216,0.5305259246630075,0.549738121494465,0.1284116430404839,0.6936729666410799,24.4134328701133,34.497452271901565,20.00177444491494,30.62881774453381,18.424645304524898,28.8041720207922,104
1,3,3,20,3,1,"{'WALK_IN': 323, 'DRIVE_THRU': 253, 'MOBILE': 192}",768,0,174.15,0,"{'wait_to_kitchen_done': 6539.931985998963, 'wait_to_packing_done': 2626.6177513296752, 'wait_to_pickup': 382.53451948502885, 'queue_wait_kitchen': 5697.342853870033, 'queue_wait_packing': 2265.5110027974174}","{'Walkin queue': 0, 'Drive-thru queue': 0, 'Kitchen queue': 1, 'Packing queue': 0}",1,"{'kitchen': 42, 'packing': 31, 'pickup': 9}",82,0.10677083333333333,"{'WALK_IN': 268, 'DRIVE_THRU': 239, 'MOBILE': 173}",680,480.025148419367,1080.0603562064807,19.040000000000003,3528.2496437935197,4801.5,0.15625,0.9049426095189291,0.47584963693358007,0.5040389610602833,0.5204787836701417,0.1107045230641322,0.7158579930051628,18.788626995971665,32.88892636806053,13.35862637910994,25.44710249639839,13.647766096727805,24.330249631890663,40
1,4,4,20,3,1,"{'WALK_IN': 303, 'DRIVE_THRU': 271, 'MOBILE': 182}",756,2,223.35,0,"{'wait_to_kitchen_done': 9055.138926472577, 'wait_to_packing_done': 2926.2150241631552, 'wait_to_pickup': 370.8917415270003, 'queue_wait_kitchen': 8214.38027509428, 'queue_wait_packing': 2563.619495456341}","{'Walkin queue': 0, 'Drive-thru queue': 0, 'Kitchen queue': 0, 'Packing queue': 0}",0,"{'kitchen': 24, 'packing': 48, 'pickup': 3}",74,0.09788359788359788,"{'WALK_IN': 261, 'DRIVE_THRU': 248, 'MOBILE': 172}",681,480.1685211439216,1080.4044507454119,12.004999999999997,3432.2405492545877,4748.0,0.15625,0.8758723334437194,0.422924679392353,0.5801233879896617,0.5131646989873705,0.10859346474631565,0.7331109886637238,21.28792225196062,33.313581544594136,18.450428110560008,28.903900223898827,18.491485647339033,28.057204484391207,51
1,5,5,20,3,1,"{'WALK_IN': 307, 'DRIVE_THRU': 270, 'MOBILE': 173}",750,0,177.6,0,"{'wait_to_kitchen_done': 5381.1247731825115, 'wait_to_packing_done': 5141.118018019377, 'wait_to_pickup': 356.77356015224115, 'queue_wait_kitchen': 4552.020557601242, 'queue_wait_packing': 4776.320086131119}","{'Walkin queue': 0, 'Drive-thru queue': 0, 'Kitchen queue': 0, 'Packing queue': 0}",0,"{'kitchen': 5, 'packing': 39, 'pickup': 6}",51,0.068,"{'WALK_IN': 286, 'DRIVE_THRU': 242, 'MOBILE': 169}",697,480.27161735942536,1080.651881662621,3.535,3484.7131183373785,4746.5,0.16145833333333334,0.8894834747791976,0.46119877436939566,0.4878346932474091,0.6089981318421919,0.09805347657180698,0.729076392514401,18.91508132138286,29.50148378658064,16.6439801785425,28.00548024244367,16.35446791991847,27.33772468303404,45
2,1,1,20,3,2,"{'WALK_IN': 298, 'DRIVE_THRU': 298, 'MOBILE': 189}",785,6,133.05,0,"{'wait_to_kitchen_done': 6686.894046342878, 'wait_to_packing_done': 511.8282805428806, 'wait_to_pickup': 397.75392809554035, 'queue_wait_kitchen': 5757.077637986121, 'queue_wait_packing': 135.0308527995029}","{'Walkin queue': 0, 'Drive-thru queue': 0, 'Kitchen queue': 0, 'Packing queue': 0}",0,"{'kitchen': 3, 'packing': 23, 'pickup': 9}",38,0.048407643312101914,"{'WALK_IN': 288, 'DRIVE_THRU': 272, 'MOBILE': 183}",743,480.0639578980678,1215.172686324783,2.38,3826.8973136752165,5177.5,0.171875,0.8744719230512479,0.44984726350174054,0.5346790275889168,0.5790625183511756,0.11971054865438337,0.3772691429694923,12.314350223207164,26.14110724116089,11.477352337055486,22.368632089986768,11.704513088633798,21.7998214773283,32
2,2,2,20,3,2,"{'WALK_IN': 322, 'DRIVE_THRU': 266, 'MOBILE': 192}",780,2,158.1,0,"{'wait_to_kitchen_done': 8769.446050955541, 'wait_to_packing_done': 519.4291837312892, 'wait_to_pickup': 382.2380280245839, 'queue_wait_kitchen': 7893.909319819069, 'queue_wait_packing': 156.94654229274732}","{'Walkin queue': 0, 'Drive-thru queue': 0, 'Kitchen queue': 0, 'Packing queue': 0}",0,"{'kitchen': 42, 'packing': 24, 'pickup': 4}",72,0.09230769230769231,"{'WALK_IN': 274, 'DRIVE_THRU': 246, 'MOBILE': 184}",704,480.02616684445184,1215.0706504800198,23.87000000000001,3555.4593495199797,4952.5,0.15625,0.8943892768242104,0.49436325854941826,0.5587321814482316,0.5894187882006606,0.09890913590894829,0.3669067003379068,18.643920424099505,34.727150889748,14.539371043589584,27.588145038685283,14.881973813170188,24.897966672559274,28
2,3,3,20,3,2,"{'WALK_IN': 314, 'DRIVE_THRU': 266, 'MOBILE': 189}",769,0,191.54999999999998,0,"{'wait_to_kitchen_done': 7129.39221454349, 'wait_to_packing_done': 526.5727659206772, 'wait_to_pickup': 363.61365430675255, 'queue_wait_kitchen': 6329.093084952296, 'queue_wait_packing': 177.22103791619588}","{'Walkin queue': 0, 'Drive-thru queue': 0, 'Kitchen queue': 4, 'Packing queue': 0}",4,"{'kitchen': 47, 'packing': 34, 'pickup': 6}",88,0.11443433029908973,"{'WALK_IN': 264, 'DRIVE_THRU': 231, 'MOBILE': 175}",670,480.01517731335633,1215.040978746062,21.210000000000015,3205.6990212539376,4633.5,0.16145833333333334,0.8908503069946743,0.5282156024709307,0.5756142288811403,0.5266075169961998,0.09385034868622773,0.35501856819854477,15.396251889397568,29.662814956825684,12.930102154217836,25.92553245938069,12.74968001780958,23.818768483193455,40
2,4,4,20,3,2,"{'WALK_IN': 299, 'DRIVE_THRU': 269, 'MOBILE': 191}",759,1,187.95000000000002,0,"{'wait_to_kitchen_done': 9800.67791489679, 'wait_to_packing_done': 546.7315673624985, 'wait_to_pickup': 356.7912987906066, 'queue_wait_kitchen': 8890.729603227133, 'queue_wait_packing': 178.3421200773162}","{'Walkin queue': 0, 'Drive-thru queue': 0, 'Kitchen queue': 26, 'Packing queue': 0}",26,"{'kitchen': 14, 'packing': 28, 'pickup': 12}",53,0.06982872200263504,"{'WALK_IN': 264, 'DRIVE_THRU': 239, 'MOBILE': 174}",677,480.16348930249734,1215.4414211167427,7.5600000000000005,3320.5485788832575,4731.5,0.15104166666666666,0.8871821993056496,0.4727874272656635,0.5357901927390504,0.5563588964879729,0.13026364430945733,0.3730736062684262,18.683381764299,29.8183722319308,16.02183443735815,27.556037472900265,16.885048893995943,27.10599316006808,40
2,5,5,20,3,2,"{'WALK_IN': 311, 'DRIVE_THRU': 257, 'MOBILE': 186}",754,9,165.75,0,"{'wait_to_kitchen_done': 7133.603366609253, 'wait_to_packing_done': 437.32137716525455, 'wait_to_pickup': 352.3827027363374, 'queue_wait_kitchen': 6292.088394045622, 'queue_wait_packing': 90.78982608433509}","{'Walkin queue': 0, 'Drive-thru queue': 0, 'Kitchen queue': 23, 'Packing queue': 0}",23,"{'kitchen': 21, 'packing': 25, 'pickup': 16}",68,0.09018567639257294,"{'WALK_IN': 266, 'DRIVE_THRU': 220, 'MOBILE': 172}",658,480.04155204232546,1215.1121905142788,10.43,3289.207809485721,4680.5,0.15625,0.9185704448880753,0.48454489982091625,0.5476591966971049,0.557294573355555,0.10129562804066011,0.34913168442062414,15.202844364538322,33.27136029243647,11.67591972776135,26.303990899296632,14.254335175613774,27.132377118207074,41
